date,water_precipitation,water_height,water_flow,water_volume,water_volume_variation
1990-02-02,9.2,31.23,11.0,10428075.0,208296.0
1990-02-03,0.0,31.24,14.0,10451440.0,23365.0
1990-02-04,0.0,31.15,14.0,10242812.0,-208628.0
1990-02-05,17.0,31.02,14.0,9946024.0,-296788.0
1990-02-06,2.5,30.95,10.7,9788866.0,-157158.0
1990-02-07,11.8,30.92,10.7,9721814.0,-67052.0
1990-02-08,5.0,30.97,10.8,9833567.0,111753.0
1990-02-09,1.0,31.03,10.9,9968726.0,135159.0
1990-02-10,3.8,31.03,10.9,9968726.0,0.0
1990-02-11,6.5,31.0,10.9,9900619.0,-68107.0
1990-02-12,1.0,30.97,10.8,9833567.0,-67052.0
1990-02-13,0.0,30.93,10.7,9744165.0,-89402.0
1990-02-14,0.0,30.86,10.7,9589203.0,-154962.0
1990-02-15,0.0,30.9,6.9,9677113.0,87910.0
1990-02-16,0.0,30.95,6.9,9788866.0,111753.0
1990-02-17,0.0,30.98,6.9,9855918.0,67052.0
1990-02-18,2.2,30.97,6.9,9833567.0,-22351.0
1990-02-19,0.0,30.99,6.9,9878268.0,44701.0
1990-02-20,3.5,31.0,7.0,9900619.0,22351.0
1990-02-21,0.0,31.1,4.0,10127644.0,227025.0
1990-02-22,0.0,31.2,6.2,10357981.0,230337.0
1990-02-23,0.0,31.3,6.2,10591628.0,233647.0
1990-02-24,8.0,31.3,6.2,10591628.0,0.0
1990-02-25,0.0,31.3,6.2,10591628.0,0.0
1990-02-26,0.0,31.28,6.2,10544899.0,-46729.0
1990-02-27,0.0,31.26,6.2,10498169.0,-46730.0
1990-02-28,5.0,31.24,6.2,10451440.0,-46729.0
1990-03-01,1.5,31.27,4.0,10521533.0,70093.0
1990-03-02,0.0,31.28,4.0,10544899.0,23366.0
1990-03-03,0.0,31.32,4.0,10639020.0,94121.0
1990-03-04,0.0,31.36,4.1,10733803.0,94783.0
1990-03-05,0.0,31.37,3.6,10757499.0,23696.0
1990-03-06,0.0,31.39,3.6,10804891.0,47392.0
